area;mh;ind;bird_feaces;mammal_feaces;bird_seeds;mammal_seeds;total_seeds;sampled_area_m2;density_raw;seed_density_m2;focal_point;x;y;random_drop
SABMAR;OA;MT7M9;0;0;0;0;0;1;0;0;YES;-6.533113889;37.01229444;no
SABMAR;OA;MT7M11;0;0;0;0;0;1;0;0;YES;-6.533113889;37.01229444;no
SABMAR;OA;MT7M12;0;0;0;0;0;1;0;0;YES;-6.533113889;37.01229444;no
SABMAR;OA;MT7M13;0;0;0;0;0;1;0;0;YES;-6.533113889;37.01229444;no
SABMAR;OA;MT7M14;0;0;0;0;0;1;0;0;YES;-6.533113889;37.01229444;no
SABMAR;OA;MT7M15;0;0;0;0;0;1;0;0;YES;-6.533113889;37.01229444;no
SABMAR;OA;MT7M16;0;0;0;0;0;1;0;0;YES;-6.533113889;37.01229444;no
SABMAR;OA;MT7M17;0;0;0;0;0;1;0;0;YES;-6.533113889;37.01229444;no
SABMAR;OA;MT7M18;0;0;0;0;0;1;0;0;YES;-6.533113889;37.01229444;no
SABMAR;OA;MT7M19;0;0;0;0;0;1;0;0;YES;-6.533113889;37.01229444;no
SABMAR;OA;MT7M20;0;0;0;0;0;1;0;0;YES;-6.533113889;37.01229444;no
SABMAR;OA;MT7M21;0;0;0;0;0;1;0;0;YES;-6.533113889;37.01229444;no
SABMAR;OA;MT8M10;1;0;2;0;2;1;2;2;NO;-6.53268769;37.01220603;no
SABMAR;OA;MT8M31;1;0;2;0;2;1;2;2;NO;-6.532863068;37.01224782;no
SABMAR;OA;MT8M35;1;0;2;0;2;1;2;2;NO;-6.532910307;37.01226974;no
SABMAR;OA;MT8M39;1;0;2;0;2;1;2;2;YES;-6.532908333;37.01231389;no
SABMAR;OA;MT8M40;2;0;4;0;4;1;4;4;NO;-6.53289903;37.01231714;no
SABMAR;OA;MT8M41;1;0;2;0;2;1;2;2;YES;-6.532891667;37.012325;no
SABMAR;OA;MT8M46;1;0;2;0;2;1;2;2;YES;-6.532875;37.01237222;no
SABMAR;OA;MT8M1;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M2;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M3;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M4;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
