sampled;knownPopulation;FAM01_DFAGA;FAM01_DFAGAb;FAM03_022206;FAM03_022206b;FAM06_84596;FAM06_84596b;NED07_DCRW4;NED07_DCRW4b;NED08_033740;NED08_033740b;NED09_ESGND;NED09_ESGNDb;VIC12_DMX65;VIC12_DMX65b;VIC13_015521;VIC13_015521b;VIC14_127300;VIC14_127300b;PET15_DLXB1;PET15_DLXB1b;PET16_064797;PET16_064797b;PET17_58859;PET17_58859b
47_Jp_End_030A_P01;3;95;95;169;169;247;247;97;97;135;135;154;154;128;133;187;187;246;246;140;140;203;207;238;244
48_Jp_End_030B_P01;3;95;95;169;169;247;271;95;97;135;135;154;154;128;133;187;187;246;246;140;140;203;207;238;244
49_Jp_End_030C_P01;3;95;95;169;169;247;271;95;97;133;133;154;154;128;133;187;187;246;246;140;140;203;207;238;244
50_Jp_End_030D_P01;3;95;95;169;169;247;271;95;97;135;135;154;154;128;133;187;187;246;246;140;140;203;207;238;244
51_Jp_End_030E_P01;3;95;95;169;169;247;247;95;99;135;135;154;154;128;133;187;197;246;246;136;140;203;207;238;244
52_Jp_End_031A_P01;3;91;95;169;169;259;283;97;97;133;135;154;161;128;144;197;197;231;246;136;140;209;209;236;238
53_Jp_End_032A_P01;3;95;95;169;169;257;259;95;95;133;135;154;154;124;128;0;0;227;231;138;140;207;207;238;238
54_Jp_End_033A_P01;3;91;93;169;169;271;271;99;99;135;135;154;161;108;122;171;195;231;236;136;140;209;213;236;244
55_Jp_End_033B_P01;3;91;93;169;169;271;271;99;99;135;135;154;161;108;122;171;195;231;236;136;140;209;213;236;244
56_Jp_End_034A_P01;3;93;95;169;169;245;271;95;99;133;135;154;161;108;144;189;195;236;236;136;140;209;209;236;238
57_Jp_End_035A_P01;3;93;95;169;169;245;259;95;99;133;135;161;163;108;144;189;197;236;236;140;140;207;209;236;238
58_Jp_End_036A_P01;3;93;95;169;169;271;271;95;95;133;135;154;161;108;128;171;187;227;246;136;140;207;207;240;246
59_Jp_End_037A_P01;3;93;95;169;169;245;259;99;99;133;135;161;163;108;144;0;0;236;236;140;140;207;209;236;238
60_Jp_End_038A_P01;3;93;95;169;169;259;259;95;95;133;135;161;163;108;144;0;0;236;236;136;140;207;209;236;238
61_Jp_End_039A_P01;3;93;95;169;169;245;259;95;99;133;135;161;163;108;144;189;197;236;236;140;140;207;209;236;236
62_Jp_End_040A_P01;3;95;95;169;169;245;259;97;97;133;135;154;161;122;142;189;197;236;246;136;136;209;209;236;238
63_Jp_End_040B_P01;3;95;95;169;169;245;259;97;97;133;135;154;161;122;142;189;189;236;236;140;140;209;209;238;244
64_Jp_End_040C_P01;3;95;95;169;169;245;259;97;97;133;135;154;161;122;142;189;189;236;236;140;140;209;209;238;244
65_Jp_End_040D_P01;3;91;95;169;169;259;259;95;95;133;135;154;161;122;142;187;197;236;236;136;136;209;209;238;238
66_Jp_End_041A_P01;3;89;95;169;169;257;259;0;0;133;135;163;163;108;154;187;187;0;0;138;138;0;0;236;236
67_Jp_End_042A_P01;3;91;93;169;169;259;259;97;97;135;135;161;161;108;156;0;0;234;246;136;140;205;205;236;238
68_Jp_End_043A_P01;3;91;93;169;169;259;259;97;97;135;135;161;161;108;156;171;187;234;246;136;140;213;213;236;236
69_Jp_End_043B_P01;3;91;93;169;169;259;259;97;99;135;135;161;161;108;156;171;187;234;246;136;140;213;213;236;238
70_Jp_End_044A_P01;3;91;93;169;169;259;259;97;97;135;135;161;161;108;156;171;187;234;246;136;140;213;213;236;238
71_Jp_End_044B_P01;3;91;93;169;169;259;259;97;97;133;135;161;161;108;156;191;191;246;246;136;140;213;213;238;238
72_Jp_End_045A_P01;3;93;95;169;169;245;259;95;99;133;135;161;163;108;144;189;197;234;246;140;140;207;209;238;238
73_Jp_End_046A_P01;3;93;95;169;169;245;259;95;99;133;135;161;163;108;144;189;197;236;236;140;140;207;209;236;238
74_Jp_End_047A_P01;3;91;93;169;169;245;265;97;97;133;133;154;163;128;142;187;187;246;246;140;140;207;213;238;244
75_Jp_End_048A_P01;3;93;93;169;169;271;283;95;95;135;135;161;163;122;128;171;199;231;246;136;140;203;205;236;238
76_Jp_End_049A_P01;3;91;91;169;179;259;283;97;97;135;135;154;161;128;144;0;0;231;231;140;140;205;213;238;238
77_Jp_End_050A_P01;3;91;93;169;179;277;283;95;95;133;133;154;161;108;128;187;191;231;246;136;138;205;213;238;238
78_Jp_End_050B_P01;3;89;91;169;169;277;283;95;97;133;135;154;161;108;128;187;191;231;246;136;140;209;213;238;238
79_Jp_End_050C_P01;3;91;93;169;169;277;283;95;95;133;133;154;161;108;128;187;191;231;246;136;140;209;213;238;238
80_Jp_End_051A_P01;3;93;95;169;169;259;259;97;99;133;135;154;163;128;128;187;197;236;246;140;140;209;209;236;236
