sampled;knownPopulation;FAM01_DFAGA;FAM01_DFAGAb;FAM03_022206;FAM03_022206b;FAM06_84596;FAM06_84596b;NED07_DCRW4;NED07_DCRW4b;NED08_033740;NED08_033740b;NED09_ESGND;NED09_ESGNDb;VIC12_DMX65;VIC12_DMX65b;VIC13_015521;VIC13_015521b;VIC14_127300;VIC14_127300b;PET15_DLXB1;PET15_DLXB1b;PET16_064797;PET16_064797b;PET17_58859;PET17_58859b
10_Jp_End_113A_P03;3;91;93;169;171;265;273;95;99;133;135;161;161;108;133;195;197;246;248;138;140;205;213;238;238
11_Jp_End_114A_P03;3;91;93;169;169;245;259;97;99;133;135;154;161;108;128;171;187;236;246;136;138;207;213;238;238
12_Jp_End_115A_P03;3;91;95;169;169;275;277;95;97;135;135;154;161;128;144;171;197;231;246;136;140;205;213;236;238
13_Jp_End_116A_P03;3;95;95;169;169;283;283;95;99;135;135;163;163;108;122;187;197;231;231;136;136;213;213;238;238
14_Jp_End_117A_P03;3;91;91;169;179;257;273;97;99;133;135;154;161;108;144;187;197;231;231;136;138;207;213;238;238
15_Jp_End_117B_P03;3;91;91;169;179;259;273;97;99;135;135;154;154;108;108;187;197;231;236;138;140;207;209;238;238
16_Jp_End_117C_P03;3;91;91;169;179;259;273;97;99;135;135;154;154;108;108;187;197;231;236;138;140;207;209;238;238
17_Jp_End_118A_P03;3;95;95;169;169;247;271;95;97;135;135;154;154;128;133;187;187;231;246;140;140;203;207;238;244
18_Jp_End_119A_P03;3;93;95;169;169;259;259;97;97;133;135;154;161;128;144;197;197;231;231;136;140;209;209;236;238
19_Jp_End_120A_P03;3;91;91;169;169;277;279;95;99;131;135;161;161;138;138;171;171;231;246;136;136;209;209;238;238
20_Jp_End_121A_P03;3;93;95;169;169;245;245;97;97;133;135;154;161;128;128;171;191;246;246;136;136;209;209;244;244
21_Jp_End_122A_P03;3;91;91;169;169;259;259;95;97;133;135;161;163;122;142;187;187;231;246;136;140;209;209;238;238
22_Jp_End_123A_P03;3;91;95;169;169;271;275;97;97;133;135;154;154;128;128;171;191;246;258;138;140;203;209;236;238
23_Jp_End_124A_P03;3;95;95;169;177;259;285;95;95;135;135;161;163;108;122;187;199;231;246;136;140;199;209;238;244
24_Jp_End_124B_P03;3;95;95;169;177;259;285;95;95;135;135;161;163;108;122;187;199;231;246;136;140;199;209;238;244
25_Jp_End_125A_P03;3;93;95;169;169;259;271;95;95;135;135;161;161;128;128;171;187;246;246;138;140;209;209;244;244
26_Jp_End_126A_P03;3;91;95;169;169;265;271;95;95;135;135;154;161;128;144;171;187;227;231;138;140;209;209;236;236
27_Jp_End_127A_P03;3;93;95;169;169;259;283;99;99;135;135;154;161;128;144;187;197;231;246;138;140;203;209;238;244
28_Jp_End_127B_P03;3;93;95;169;169;259;283;99;99;135;135;154;161;128;144;187;197;231;246;138;140;203;209;238;244
29_Jp_End_128A_P03;3;93;95;169;169;259;259;97;97;133;135;161;161;108;122;185;185;246;246;138;140;205;209;238;244
30_Jp_End_129A_P03;3;93;93;169;169;271;283;95;95;135;135;161;163;122;128;187;199;231;246;136;140;203;205;236;244
31_Jp_End_129B_P03;3;91;95;169;169;259;259;95;97;133;135;161;161;108;122;189;197;236;246;136;136;209;209;238;244
32_Jp_End_130A_P03;3;91;91;169;177;259;259;95;95;135;135;154;154;108;122;197;197;0;0;136;140;209;209;236;238
33_Jp_End_131A_P03;3;95;95;169;169;259;283;95;97;133;135;154;161;108;108;187;197;236;246;136;140;209;213;236;244
34_Jp_End_132A_P03;3;91;91;169;169;259;259;95;97;135;135;154;161;108;128;187;197;236;246;136;140;209;209;236;246
35_Jp_End_132B_P03;3;91;91;169;169;245;259;95;95;135;135;154;161;108;128;187;197;231;246;136;140;209;209;236;246
36_Jp_End_133A_P03;3;91;95;169;169;259;283;99;99;133;135;161;161;122;142;171;187;231;236;136;138;209;213;236;238
37_Jp_End_133B_P03;3;91;95;169;169;259;283;99;99;133;135;161;161;122;142;171;187;231;236;136;138;213;213;236;238
38_Jp_End_134A_P03;3;91;95;169;169;273;277;95;97;133;135;154;163;108;128;171;199;231;246;140;140;209;213;238;238
39_Jp_End_134B_P03;3;91;95;169;169;259;277;95;97;133;135;154;163;108;128;171;199;231;246;140;140;209;213;238;244
40_Jp_End_135A_P03;3;93;95;169;169;259;259;95;95;133;135;154;154;128;128;187;197;231;246;138;140;207;213;238;238
41_Jp_End_135B_P03;3;93;95;169;169;259;259;95;95;133;135;154;154;128;128;187;197;231;246;138;140;207;213;238;238
42_Jp_End_136A_P03;3;91;95;169;169;245;271;97;97;133;135;161;161;122;128;171;195;231;246;138;140;209;213;236;238
43_Jp_End_137A_P03;3;91;95;169;169;259;259;97;97;133;133;154;161;128;128;187;187;231;246;136;136;209;209;236;238
44_Jp_End_138A_P03;3;93;93;169;169;245;259;95;97;135;135;154;154;108;128;187;191;231;246;136;138;207;213;236;236
45_Jp_End_139A_P03;3;93;95;169;169;245;259;95;99;133;135;161;163;108;144;189;197;236;246;136;140;207;209;236;238
46_Jp_End_140A_P03;3;91;95;169;169;259;277;97;97;135;135;154;161;108;144;171;187;236;246;136;140;209;213;238;244
47_Jp_End_141A_P03;3;95;95;169;169;259;259;97;97;133;133;154;154;122;128;187;197;246;246;136;136;207;209;238;238
48_Jp_End_141B_P03;3;95;95;169;169;259;259;97;97;133;133;154;154;122;128;187;197;246;246;136;136;207;209;238;238
49_Jp_End_141C_P03;3;95;95;169;169;259;259;97;97;133;133;154;154;122;128;187;197;231;246;136;136;209;213;236;238
50_Jp_End_141D_P03;3;95;95;169;169;259;259;97;97;133;133;154;154;122;128;187;197;246;246;136;136;207;209;238;238
51_Jp_End_142A_P03;3;93;93;169;169;271;271;99;99;0;0;161;161;108;122;171;187;227;244;136;136;213;213;244;244
53_Jp_End_144A_P03;3;91;93;169;169;259;259;95;97;133;135;161;161;108;108;187;187;231;246;136;136;209;213;238;238
54_Jp_End_144B_P03;3;91;93;169;169;259;259;95;95;133;135;161;161;108;108;171;187;231;231;136;140;209;213;238;244
55_Jp_End_145A_P03;3;91;95;169;169;259;261;95;97;133;135;161;163;108;108;171;199;240;244;136;138;209;209;244;244
56_Jp_End_146A_P03;3;95;95;169;169;259;259;97;97;133;133;154;161;122;128;187;197;246;246;136;140;209;209;238;238
57_Jp_End_146B_P03;3;95;95;169;169;259;259;97;97;133;133;154;161;122;128;187;197;246;246;136;136;207;209;238;238
58_Jp_End_147A_P03;3;91;93;169;169;259;277;95;99;133;133;161;161;122;144;187;197;231;246;136;136;209;209;236;244
59_Jp_End_147B_P03;3;91;93;169;169;259;277;95;99;133;135;161;163;122;144;187;197;231;246;136;136;209;209;236;244
60_Jp_End_147C_P03;3;91;93;169;169;259;277;95;99;133;133;161;161;122;144;187;197;231;246;136;136;209;209;236;244
61_Jp_End_147D_P03;3;91;93;169;169;259;277;95;99;133;133;161;161;122;144;187;197;231;246;136;136;209;209;236;244
62_Jp_End_147E_P03;3;91;93;169;169;259;277;95;99;133;133;161;161;122;144;187;197;231;246;136;136;209;209;236;244
63_Jp_End_148A_P03;3;91;93;169;169;277;277;97;97;135;135;154;163;126;126;187;197;236;246;138;138;213;213;236;238
64_Jp_End_149A_P03;3;91;93;169;171;245;271;99;99;0;0;161;161;128;128;187;197;248;248;138;138;205;205;238;244
65_Jp_End_150A_P03;3;93;93;169;169;277;277;97;97;135;135;161;163;108;126;187;191;236;236;136;138;213;213;236;236
66_Jp_End_151A_P03;3;91;93;169;169;257;257;97;97;135;135;161;163;126;128;187;187;236;236;136;140;213;213;236;236
67_Jp_End_152A_P03;3;91;93;169;169;257;277;97;97;135;135;154;161;126;128;187;187;236;246;136;138;213;213;236;238
68_Jp_End_153A_P03;3;91;95;169;185;259;283;95;99;133;135;154;161;128;139;187;199;231;246;138;140;213;213;236;238
69_Jp_End_153B_P03;3;91;91;169;171;259;271;95;97;135;135;154;161;133;144;187;187;236;246;140;140;209;209;236;246
70_Jp_End_153C_P03;3;91;91;169;171;259;271;95;97;135;135;154;161;133;144;187;187;236;246;138;140;209;209;236;246
71_Jp_End_153D_P03;3;91;91;169;171;259;271;95;97;135;135;154;161;133;144;187;187;236;246;138;140;209;209;236;246
72_Jp_End_154A_P03;3;93;95;169;169;245;273;95;97;133;135;161;161;108;122;191;197;231;246;136;140;209;213;236;236
73_Jp_End_155A_P03;3;91;93;169;179;245;271;95;97;135;135;154;154;108;128;187;197;231;236;138;140;209;209;236;236
74_Jp_End_155B_P03;3;91;93;169;169;271;283;95;97;135;135;154;154;108;128;171;199;231;231;136;136;209;213;236;244
75_Jp_End_155C_P03;3;0;0;169;169;283;283;97;97;135;135;154;161;128;128;185;191;231;244;138;138;209;213;236;244
76_Jp_End_156A_P03;3;91;95;169;169;245;259;95;95;135;135;161;169;122;144;187;187;231;248;140;140;213;213;236;236
77_Jp_End_157A_P03;3;91;91;169;169;259;259;95;97;135;135;154;161;108;128;187;197;236;246;136;140;209;209;236;246
78_Jp_End_157B_P03;3;91;91;169;169;271;271;97;97;133;135;154;154;108;128;189;197;231;246;136;140;209;209;236;244
79_Jp_End_157C_P03;3;91;91;169;169;271;271;97;97;133;135;154;154;108;128;189;197;231;246;136;140;209;209;236;244
81_Jp_End_159A_P03;3;91;93;169;169;259;259;95;97;133;135;161;161;108;108;187;187;231;246;136;136;209;213;238;238
82_Jp_End_160A_P03;3;93;93;169;169;257;259;95;99;135;135;154;163;108;108;171;187;231;236;136;136;209;209;236;238
83_Jp_End_161A_P03;3;93;93;169;171;259;259;97;99;133;135;154;161;122;128;187;187;231;246;140;140;205;205;238;244
84_Jp_End_162A_P03;3;91;91;169;169;257;259;95;97;135;135;154;161;108;128;187;197;236;246;136;140;209;209;236;246
85_Jp_End_162B_P03;3;93;93;169;169;259;271;95;97;135;135;154;163;144;156;171;171;227;231;136;138;209;209;238;244
86_Jp_End_162C_P03;3;93;93;169;169;259;271;95;97;135;135;154;163;144;156;171;171;227;231;136;138;209;209;238;244
87_Jp_End_163A_P03;3;93;93;169;169;259;271;95;97;135;135;154;163;144;156;171;171;227;231;136;138;209;209;238;244
88_Jp_End_164A_P03;3;91;91;169;169;257;259;95;97;135;135;154;161;108;128;187;197;236;246;136;140;209;209;236;246
89_Jp_End_165A_P03;3;91;95;169;169;261;273;97;97;135;135;154;161;128;139;187;191;236;246;136;140;207;213;236;238
90_Jp_End_166A_P03;3;93;93;169;171;259;259;97;99;133;135;154;161;122;128;187;187;231;246;140;140;205;205;238;244
91_Jp_End_166B_P03;3;93;93;169;171;259;259;97;99;133;135;154;161;122;128;187;187;231;246;140;140;205;205;238;244
92_Jp_End_167A_P03;3;93;93;169;177;259;259;95;97;133;135;161;161;122;128;185;195;231;246;138;140;213;213;236;238
93_Jp_End_168A_P03;3;91;91;169;169;259;269;95;97;133;135;154;161;108;128;187;197;246;246;136;140;209;213;238;246
94_Jp_End_168B_P03;3;91;91;169;169;257;259;95;97;135;135;154;161;108;128;187;197;236;246;136;140;209;209;236;246
01_Jp_End_168B_P04;3;91;91;169;169;257;259;95;97;135;135;154;161;108;128;187;197;236;246;136;140;209;209;236;246
02_Jp_End_169A_P04;3;93;93;169;185;257;277;97;99;133;135;161;163;108;122;171;187;227;246;136;136;209;209;238;244
03_Jp_End_170A_P04;3;91;91;169;169;257;257;95;97;135;135;154;161;108;128;187;195;246;246;136;140;209;209;236;236
04_Jp_End_171A_P04;3;91;91;169;169;257;259;95;97;135;135;154;161;108;128;187;197;236;246;136;140;209;209;236;246
05_Jp_End_172A_P04;3;95;95;169;171;259;271;97;97;133;135;154;161;122;133;197;197;231;238;136;140;205;213;236;244
06_Jp_End_172B_P04;3;95;95;169;171;259;271;97;97;133;135;154;161;122;133;197;197;231;238;136;140;205;213;236;244
07_Jp_End_173A_P04;3;91;95;171;171;259;277;97;97;135;135;154;161;108;108;191;197;227;246;140;140;209;213;236;236
08_Jp_End_174A_P04;3;93;93;171;179;271;271;97;97;135;135;161;161;108;122;0;0;231;246;138;140;209;213;236;244
09_Jp_End_175A_P04;3;95;95;169;171;245;271;95;97;133;135;154;161;108;156;171;187;231;246;140;140;213;213;236;244
10_Jp_End_175B_P04;3;95;95;169;169;245;271;97;97;133;135;161;161;144;156;187;197;246;246;140;140;209;213;238;238
11_Jp_End_175C_P04;3;95;95;169;169;245;271;97;97;133;135;161;161;144;156;187;199;246;246;140;140;209;213;236;244
12_Jp_End_176A_P04;3;91;95;169;169;259;271;97;99;133;135;161;163;128;139;187;197;246;246;136;136;207;213;236;244
13_Jp_End_176B_P04;3;91;95;169;169;259;271;99;99;133;135;161;163;128;139;187;197;246;246;136;136;207;213;244;244
14_Jp_End_176C_P04;3;91;95;169;169;259;271;99;99;133;135;161;163;128;139;187;197;246;246;136;136;207;213;244;244
15_Jp_End_176D_P04;3;91;95;169;169;259;271;99;99;133;135;161;163;128;139;187;197;246;246;136;136;207;213;244;244
16_Jp_End_177A_P04;3;91;95;169;169;245;245;95;97;0;0;154;161;122;142;187;187;236;246;136;140;209;209;238;244
17_Jp_End_178A_P04;3;91;93;169;169;259;261;95;95;133;133;154;161;126;128;171;197;231;246;136;140;207;213;238;238
18_Jp_End_178B_P04;3;91;93;169;169;259;261;95;95;133;133;154;161;126;128;171;197;231;246;136;140;207;213;238;238
19_Jp_End_179A_P04;3;91;93;169;169;259;271;97;97;135;135;159;161;128;144;187;197;231;246;136;140;205;213;236;238
20_Jp_End_179B_P04;3;95;95;169;169;259;273;97;97;133;133;154;161;108;144;187;197;231;246;136;138;207;209;238;238
21_Jp_End_180A_P04;3;93;95;169;169;236;273;97;99;135;135;154;161;122;139;171;197;227;246;136;140;203;207;236;238
22_Jp_End_181A_P04;3;95;95;169;169;259;277;97;97;133;133;161;161;128;144;171;191;231;246;136;140;205;209;236;238
23_Jp_End_182A_P04;3;91;93;169;169;271;273;97;99;133;133;161;161;108;108;171;197;231;258;140;140;209;209;238;244
24_Jp_End_182B_P04;3;91;93;169;169;271;273;97;99;133;133;161;161;108;108;171;197;231;258;140;140;209;209;238;244
25_Jp_End_183A_P04;3;93;95;169;171;245;261;95;97;135;135;156;161;128;133;187;197;231;246;136;138;207;209;236;238
26_Jp_End_184A_P04;3;91;93;169;169;257;271;97;97;135;135;154;161;128;133;187;197;231;246;136;138;205;213;238;238
27_Jp_End_184B_P04;3;91;93;169;169;257;271;97;97;135;135;154;161;128;133;187;197;231;246;136;138;205;213;236;238
28_Jp_End_185A_P04;3;93;93;169;185;259;283;95;97;133;135;161;161;108;108;195;197;227;246;136;140;209;209;236;238
29_Jp_End_186A_P04;3;91;91;169;171;259;259;97;97;135;135;154;154;128;128;187;187;246;246;136;138;209;213;236;236
30_Jp_End_186B_P04;3;91;91;169;171;259;271;97;97;135;135;154;154;128;144;187;197;246;246;136;138;209;213;236;236
31_Jp_End_186C_P04;3;93;93;169;185;259;259;97;97;135;135;154;163;128;144;187;197;231;246;136;140;205;213;236;238
32_Jp_End_187A_P04;3;95;95;169;169;271;283;97;97;0;0;154;161;128;142;171;197;231;246;136;140;203;205;236;238
33_Jp_End_188A_P04;3;93;93;169;185;259;259;97;97;135;135;154;163;128;144;171;171;231;246;136;136;213;213;238;238
34_Jp_End_189A_P04;3;93;95;169;169;259;283;95;99;133;133;154;161;128;128;187;197;246;246;136;140;207;207;236;238
35_Jp_End_190A_P04;3;93;93;169;171;259;259;97;99;133;135;154;161;122;128;187;187;231;246;140;140;205;205;238;244
36_Jp_End_190B_P04;3;93;93;169;171;259;259;97;99;133;135;154;161;122;128;187;187;231;246;140;140;205;205;238;244
37_Jp_End_191A_P04;3;93;95;169;169;259;283;95;97;133;133;154;161;128;128;187;191;246;246;140;140;207;209;236;238
38_Jp_End_192A_P04;3;91;91;169;169;259;259;95;99;135;135;161;161;139;147;187;197;246;246;136;140;205;209;238;244
39_Jp_End_192B_P04;3;91;91;169;169;259;259;95;99;135;135;161;161;139;147;187;197;246;246;136;140;205;209;238;244
40_Jp_End_192C_P04;3;91;91;169;169;259;259;95;99;135;135;161;161;139;147;187;197;246;246;136;140;205;209;238;244
41_Jp_End_193A_P04;3;93;95;169;169;245;245;95;97;133;133;154;161;128;128;171;191;231;246;136;138;209;209;238;244
42_Jp_End_194A_P04;3;91;91;169;169;245;245;97;99;133;135;161;161;128;144;187;191;231;246;138;140;209;213;238;244
43_Jp_End_194B_P04;3;91;91;169;169;245;245;97;99;133;135;161;161;128;144;187;191;231;246;138;140;209;213;238;244
44_Jp_End_195A_P04;3;91;91;169;169;259;259;97;97;133;135;161;163;128;144;189;197;246;246;140;140;209;209;236;244
45_Jp_End_196A_P04;3;95;95;169;171;245;259;97;99;133;135;161;176;144;144;197;197;231;231;136;136;205;205;236;244
46_Jp_End_197A_P04;3;91;95;169;169;259;259;97;97;0;0;156;161;122;139;187;197;231;231;140;140;213;213;236;238
47_Jp_End_198A_P04;3;91;93;169;185;259;259;97;97;0;0;156;161;139;139;187;197;227;227;136;140;213;213;236;238
48_Jp_End_198B_P04;3;91;93;169;185;259;259;97;97;0;0;156;161;122;139;187;197;227;231;140;140;213;213;236;238
49_Jp_End_199A_P04;3;91;93;169;169;259;269;97;97;133;135;154;154;128;128;187;197;231;236;136;138;209;209;238;238
50_Jp_End_200A_P04;3;95;95;169;169;259;259;97;97;133;135;154;154;122;128;187;197;246;246;136;136;207;209;238;238
51_Jp_End_200B_P04;3;95;95;169;169;259;259;97;97;133;133;154;154;122;128;187;197;246;246;136;136;207;209;238;238
52_Jp_End_200C_P04;3;95;95;169;169;259;259;97;97;133;133;154;154;122;128;187;197;246;246;136;136;207;209;238;238
53_Jp_End_201A_P04;3;93;95;169;171;0;0;95;95;135;135;154;163;108;142;171;197;236;246;136;136;213;213;236;236
54_Jp_End_202A_P04;3;91;93;169;169;267;267;97;99;135;135;161;161;108;128;187;197;231;236;136;140;213;213;236;236
55_Jp_End_203A_P04;3;91;91;169;169;259;273;95;97;135;135;154;161;108;144;189;197;231;246;140;140;209;209;238;244
56_Jp_End_204A_P04;3;91;91;169;169;259;259;95;97;135;135;154;161;108;144;171;171;246;246;138;140;205;209;238;244
57_Jp_End_205A_P04;3;91;91;169;169;259;271;95;95;135;135;161;163;128;147;171;171;231;231;136;136;209;213;236;236
58_Jp_End_206A_P04;3;91;91;169;169;259;271;95;97;135;135;154;161;108;144;171;189;231;246;138;140;205;209;238;244
59_Jp_End_206B_P04;3;91;91;169;169;259;271;95;97;135;135;154;161;108;144;171;189;244;246;138;140;205;209;238;244
60_Jp_End_207A_P04;3;95;95;169;171;259;265;97;99;135;135;154;161;108;128;187;197;227;240;140;140;205;205;244;244
61_Jp_End_208A_P04;3;91;91;169;169;259;259;95;97;135;135;154;161;108;144;189;197;231;246;138;140;205;205;238;238
62_Jp_End_209A_P04;3;91;93;169;169;245;259;97;97;133;135;161;163;128;128;191;199;231;231;140;140;213;213;236;238
63_Jp_End_209B_P04;3;91;93;169;169;245;259;97;97;133;135;161;163;128;128;191;199;231;231;140;140;213;213;236;238
64_Jp_End_209C_P04;3;91;93;169;169;245;259;97;97;133;135;161;163;128;128;191;199;231;231;140;140;213;213;236;238
65_Jp_End_210A_P04;3;91;93;169;169;245;259;95;99;133;135;154;161;108;144;187;187;231;246;140;140;213;213;238;238
66_Jp_End_211A_P04;3;95;95;169;169;247;271;95;97;135;135;154;154;128;133;187;187;246;246;140;140;203;207;238;244
67_Jp_End_211B_P04;3;95;95;169;169;247;271;95;97;135;135;154;154;128;133;187;187;246;246;140;140;203;207;238;244
68_Jp_End_212A_P04;3;93;93;169;169;245;271;95;99;133;135;154;161;128;144;171;197;238;246;140;140;209;209;236;238
69_Jp_End_212B_P04;3;93;93;169;169;245;271;95;99;133;135;154;161;128;144;171;197;238;246;140;140;209;209;236;238
70_Jp_End_213A_P04;3;95;95;169;169;247;271;95;97;135;135;154;154;128;133;187;187;246;246;140;140;203;207;238;244
70_Jp_End_214A_P04;3;93;93;169;171;259;259;97;99;133;135;154;161;122;128;187;187;231;246;140;140;205;205;238;244
72_Jp_End_215A_P04;3;93;93;169;171;259;259;97;99;133;135;154;161;122;128;187;187;231;246;140;140;205;205;238;244
73_Jp_End_216A_P04;3;93;93;169;171;259;259;97;99;133;135;154;161;122;128;187;187;231;246;140;140;205;205;238;244
74_Jp_End_216B_P04;3;93;93;169;171;259;259;97;99;133;135;154;161;122;128;187;187;231;246;140;140;205;205;238;244
75_Jp_End_217A_P04;3;93;93;169;171;259;259;97;99;133;135;154;161;122;128;187;197;231;246;140;140;205;205;238;244
76_Jp_End_217B_P04;3;93;93;169;171;259;259;97;99;133;135;154;161;122;128;187;187;231;246;140;140;205;205;238;244
77_Jp_End_218A_P04;3;93;93;171;179;245;271;95;95;133;135;161;163;108;108;171;187;231;246;136;136;209;209;244;246
78_Jp_End_219A_P04;3;95;95;169;169;259;259;97;99;133;135;154;159;108;144;187;197;231;231;136;138;213;213;236;244
79_Jp_End_219B_P04;3;95;95;169;169;259;259;97;99;133;135;154;159;108;144;187;197;231;231;136;138;213;213;236;244
80_Jp_End_220A_P04;3;93;95;169;169;259;273;95;99;0;0;154;161;128;142;171;189;231;246;136;140;209;213;236;244
81_Jp_End_221A_P04;3;89;91;169;169;261;277;95;97;135;135;161;161;108;122;187;195;231;246;140;140;209;209;236;238
82_Jp_End_221B_P04;3;89;91;169;169;261;277;95;97;135;135;161;161;108;122;187;195;231;246;140;140;209;209;236;238
83_Jp_End_222A_P04;3;93;93;169;169;261;277;95;95;133;135;154;169;108;128;187;187;231;234;138;140;213;213;238;238
84_Jp_End_223A_P04;3;91;93;169;177;259;285;95;97;133;135;161;163;108;108;187;199;231;236;136;140;199;209;236;244
85_Jp_End_223B_P04;3;91;93;169;177;259;285;95;95;133;135;161;163;108;108;187;199;231;236;136;140;199;209;236;244
86_Jp_End_223C_P04;3;93;95;169;169;259;277;97;97;133;135;154;154;108;144;171;197;236;238;136;140;209;213;238;244
87_Jp_End_224A_P04;3;91;93;169;169;261;261;97;99;133;135;161;163;108;128;189;197;231;234;140;140;213;213;244;244
88_Jp_End_225A_P04;3;91;91;169;177;245;267;95;95;135;135;161;161;128;144;187;197;227;246;136;136;207;213;238;244
89_Jp_End_225B_P04;3;91;93;169;169;277;283;95;99;0;0;156;161;126;128;187;187;227;258;138;140;205;209;238;238
90_Jp_End_226A_P04;3;91;95;169;171;261;277;97;97;0;0;154;163;108;108;197;197;227;246;140;140;213;213;236;238
91_Jp_End_227A_P04;3;95;95;169;169;277;277;95;95;133;135;154;163;128;139;187;197;231;246;140;140;209;213;236;238
92_Jp_End_227B_P04;3;95;95;169;169;277;277;95;95;133;135;154;163;128;139;187;197;231;246;140;140;209;213;236;238
93_Jp_End_228A_P04;3;95;95;169;169;259;283;95;97;133;135;154;161;108;108;187;197;236;246;136;140;209;213;236;244
94_Jp_End_229A_P04;3;91;93;169;169;259;271;95;97;135;135;161;161;108;144;197;197;231;236;136;140;213;213;236;238
01_Jp_End_229B_P05;3;91;93;169;169;259;271;95;97;135;135;161;161;108;144;197;197;231;236;136;140;213;213;236;238
02_Jp_End_229C_P05;3;91;93;169;169;259;271;95;97;135;135;161;161;108;144;197;197;231;236;136;140;213;213;236;238
03_Jp_End_230A_P05;3;93;95;169;171;259;265;95;97;135;135;154;163;128;133;187;197;244;246;136;140;209;213;236;238
04_Jp_End_231A_P05;3;95;95;169;169;247;271;95;97;135;135;154;154;128;133;187;187;246;246;140;140;203;207;238;244
05_Jp_End_232A_P05;3;89;91;169;169;265;283;95;97;135;135;161;161;128;139;171;187;227;231;136;140;209;213;236;238
06_Jp_End_233A_P05;3;95;95;169;171;259;283;97;97;133;135;154;163;128;139;171;187;231;246;138;138;205;213;244;244
07_Jp_End_234A_P05;3;93;93;169;169;271;271;97;99;135;135;161;163;122;128;187;197;231;246;136;136;209;209;236;238
08_Jp_End_235A_P05;3;91;95;169;169;259;277;97;97;135;135;154;161;108;144;171;187;236;246;136;140;209;213;238;244
09_Jp_End_236A_P05;3;91;95;169;169;245;259;95;95;135;135;154;161;108;144;187;187;231;250;140;140;205;209;238;238
10_Jp_End_237A_P05;3;91;93;169;169;259;271;95;97;135;135;161;161;108;144;197;197;231;236;136;140;213;213;236;238
11_Jp_End_238A_P05;3;93;95;169;171;259;277;97;97;133;135;154;163;108;128;187;193;231;246;136;140;203;213;238;244
12_Jp_End_239A_P05;3;93;95;169;169;259;281;97;99;133;135;161;161;108;128;187;197;231;246;136;140;209;213;238;238
13_Jp_End_239B_P05;3;93;95;169;169;259;281;97;99;133;135;161;161;108;128;187;197;231;246;136;140;209;213;238;238
14_Jp_End_240A_P05;3;91;95;169;169;237;271;97;97;133;135;154;154;122;139;191;197;246;246;140;140;207;213;236;238
15_Jp_End_241A_P05;3;91;91;169;169;259;259;95;97;135;135;154;161;108;144;171;189;246;246;138;140;205;209;238;244
16_Jp_End_242A_P05;3;93;95;169;171;245;261;95;97;0;0;156;161;128;133;187;197;231;246;136;138;207;209;236;238
17_Jp_End_243A_P05;3;93;95;169;169;245;259;95;99;133;135;161;163;108;144;189;197;236;236;140;140;207;209;236;238
18_Jp_End_243B_P05;3;95;95;169;169;247;271;95;97;135;135;154;154;128;133;187;187;246;246;140;140;203;207;238;244
19_Jp_End_244A_P05;3;93;95;169;169;271;275;95;97;135;135;154;154;128;139;187;191;238;238;140;140;203;209;236;244
20_Jp_End_245A_P05;3;95;95;169;169;259;261;95;99;135;135;154;161;108;128;197;197;246;246;140;140;205;209;238;244
21_Jp_End_245B_P05;1;95;95;169;169;259;261;95;99;135;135;154;161;108;128;197;197;246;246;140;140;205;209;238;244
22_Jp_End_246A_P05;1;91;95;169;169;259;259;97;97;133;135;154;161;108;144;171;197;231;236;136;136;209;209;236;244
23_Jp_End_246B_P05;1;91;95;169;169;259;259;97;97;133;135;154;161;108;144;171;197;231;236;136;136;209;209;236;244
24_Jp_End_246C_P05;1;95;95;169;169;245;259;97;97;133;133;154;154;122;128;187;197;244;246;136;136;209;209;238;244
25_Jp_End_247A_P05;1;91;93;169;169;259;277;95;99;133;133;161;161;122;144;187;197;231;246;136;136;209;209;236;244
26_Jp_End_248A_P05;1;95;95;169;169;247;271;95;97;135;135;154;154;128;133;187;187;231;246;140;140;203;207;238;244
27_Jp_End_249A_P05;1;91;91;169;169;259;271;95;99;135;135;154;161;108;128;171;187;231;246;136;140;209;209;238;238
28_Jp_End_249B_P05;1;91;91;169;169;259;271;95;99;135;135;154;161;108;128;171;187;231;246;136;140;209;209;238;238
29_Jp_End_250A_P05;1;93;95;169;169;245;273;95;97;133;135;154;163;128;144;171;171;246;246;136;138;213;213;236;238
30_Jp_End_251A_P05;1;91;93;169;169;245;259;95;99;135;135;154;163;108;122;187;197;231;246;138;140;207;209;238;244
31_Jp_End_252A_P05;1;91;93;169;169;245;259;95;99;133;135;161;163;108;144;171;171;231;246;136;140;209;213;236;244
32_Jp_End_252B_P05;1;91;93;169;169;245;259;95;99;133;135;161;163;108;144;171;171;231;246;136;140;209;213;236;244
33_Jp_End_253A_P05;1;93;95;169;169;245;273;95;97;133;135;161;161;108;122;191;197;231;246;136;140;209;213;236;238
34_Jp_End_253B_P05;1;93;95;169;169;245;273;95;97;133;135;161;161;108;122;191;197;231;246;136;140;209;213;236;236
35_Jp_End_254A_P05;1;91;93;169;169;261;273;95;97;133;133;154;161;108;128;171;191;231;246;136;138;207;213;236;236
36_Jp_End_254B_P05;1;91;93;169;169;261;273;95;97;133;133;154;161;108;128;171;191;231;246;136;138;207;213;236;236
37_Jp_End_255A_P05;1;93;95;169;169;245;259;95;97;133;135;161;161;108;122;191;197;231;246;136;140;209;213;236;238
38_Jp_End_256A_P05;1;91;91;169;177;245;259;95;95;133;135;154;154;108;122;171;197;231;246;136;140;209;209;236;238
