ind; Identification name for deposition site.;;;;;;;;;;;;;;;
mh;"Microhabitat type. OA = Open Area; FF = Fleshy-fruited species; NF = Non-Fleshy-fruited species; PP = Pinus pinnea; JP = Juniperus phoenicea";;;;;;;;;;;;;;;
area;"Juniper forest stand:  SABMAR = MATURE; SABOJI = INTERMEDIATE; SABCOL = COLONIZATION";;;;;;;;;;;;;;;
uPMI;Unbiased maternal probability identity: (_the probability of drawing two seeds, both from the deposition site, from the same maternal source). ;;;;;;;;;;;;;;;
alpha;Is uPMI elevated to -1;;;;;;;;;;;;;;;
n_seeds_total;The number of seeds collected at that deposition site. ;;;;;;;;;;;;;;;
n_mothers;The number of different mothers identified on that deposition site. ;;;;;;;;;;;;;;;
mean_relatedness;The average value of relatedness among all seeds detected at that deposition site. Following Queller and Goodnight (1989) in GenAlex;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ind;mh;area;uPMI;alpha;n_seeds_total;n_mothers;mean_relatedness;;;;;;;;;
C075;JP;SABCOL;0.078431373;12.75;18;12;0.041901404;;;;;;;;;
O_NF_H;NF;SABOJI;0.087719298;11.4;19;11;0.082944453;;;;;;;;;
C_PP_I;PP;SABCOL;0.110526316;9.047619048;20;14;0.366792862;;;;;;;;;
C_NF_G;NF;SABCOL;0.034632035;28.875;22;16;0.066304133;;;;;;;;;
M_PP_K;PP;SABMAR;0.064935065;15.4;22;17;0.266112336;;;;;;;;;
O_FF_A;FF;SABOJI;0.03030303;33;22;16;0.183586346;;;;;;;;;
C_PP_C;PP;SABCOL;0.036666667;27.27272727;25;16;0.09853462;;;;;;;;;
M_PP_N;PP;SABMAR;0.02;50;25;20;0.215732926;;;;;;;;;
M058;JP;SABMAR;0.006666667;150;25;23;0.0759387;;;;;;;;;
M457;JP;SABMAR;0.036666667;27.27272727;25;17;0.05148321;;;;;;;;;
O_PP_B;PP;SABOJI;0.015384615;65;26;22;0.077402342;;;;;;;;;
C111;JP;SABCOL;0.096866097;10.32352941;27;13;0.09884181;;;;;;;;;
O023;JP;SABOJI;0.056980057;17.55;27;15;0.129390071;;;;;;;;;
O626;JP;SABOJI;0.056980057;17.55;27;18;0.064864184;;;;;;;;;
C_PP_L;PP;SABCOL;0.017241379;58;29;22;0.040290098;;;;;;;;;
O_NF_A;NF;SABOJI;0.024630542;40.6;29;23;0.134617537;;;;;;;;;
O488;JP;SABOJI;0.034482759;29;29;19;0.075214836;;;;;;;;;
M648;JP;SABMAR;0.128342246;7.791666667;34;18;0.129317438;;;;;;;;;
C014;JP;SABCOL;0.092063492;10.86206897;36;20;0.275204633;;;;;;;;;
M_PP_M;PP;SABMAR;0.008536585;117.1428571;41;35;0.028460941;;;;;;;;;
O_PP_G;PP;SABOJI;0.058039216;17.22972973;51;26;0.0409215;;;;;;;;;
