"","ind","mh","area","uPMI","alpha","n_seeds_total","n_mothers","mean_relatedness","Remaining species","Erithacus rubecula","Turdus philomelos","Turdus merula","Vulpes vulpes"
"62","O_PP_E","PP","SABOJI",0.0757575757575758,13.2,12,8,0.209883951257576,0,5,6,0,1
"63","O_PP_G","PP","SABOJI",0.0580392156862745,17.2297297297297,51,26,0.0409214995317647,4,2,32,13,0
"64","O_PP_L","PP","SABOJI",0.283333333333333,3.52941176470588,16,6,0.28051170645,0,1,15,0,0
"65","O023","JP","SABOJI",0.056980056980057,17.55,27,15,0.129390071276353,0,8,14,5,0
"66","O463","JP","SABOJI",0.133333333333333,7.5,16,9,0.139879017358333,0,2,14,0,0
"67","O488","JP","SABOJI",0.0344827586206897,29,29,19,0.075214836270936,3,2,23,1,0
"68","O626","JP","SABOJI",0.056980056980057,17.55,27,18,0.0648641842193732,1,0,25,1,0
"69","OT14M11","OA","SABOJI",0,Inf,3,3,0.281185473333333,0,0,3,0,0
"70","OT14M16","OA","SABOJI",0,Inf,2,2,0.881516218,0,2,0,0,0
"71","OT14M19","OA","SABOJI",1,1,5,1,0.9658635256,0,0,5,0,0
"72","OT14M20","OA","SABOJI",0,Inf,2,2,0.083551951,0,0,1,1,0
"73","OT14M21","OA","SABOJI",1,1,2,1,1,0,0,2,0,0
"74","OT14M4","OA","SABOJI",0.333333333333333,3,3,2,0.918338378,0,0,3,0,0
"75","OT14M9","OA","SABOJI",0,Inf,2,2,0.712454498,0,0,2,0,0
"76","OT15M1","OA","SABOJI",0,Inf,2,2,0.789564848,0,0,2,0,0
"77","OT15M13","OA","SABOJI",0,Inf,4,4,0.2787348225,0,0,0,4,0
"78","OT15M14","OA","SABOJI",0,Inf,3,3,0.456745574666667,0,0,0,3,0
"79","OT15M16","OA","SABOJI",0,Inf,2,2,0.77538836,0,0,1,1,0
"80","OT15M17","OA","SABOJI",0.333333333333333,3,3,2,0.34868125,0,0,0,3,0
"81","OT15M22","OA","SABOJI",1,1,2,1,1,0,0,2,0,0
"82","OT15M4","OA","SABOJI",0.142857142857143,7,8,5,0.120171414142857,0,0,8,0,0
"83","OT15M5","OA","SABOJI",0.0666666666666667,15,6,5,0.0344785000666667,0,0,3,3,0
"84","OT15M6","OA","SABOJI",0,Inf,4,4,0.305419341333333,0,0,1,3,0
"85","OT15M8","OA","SABOJI",0.1,10,5,4,0.3259733465,0,0,2,3,0
"86","OT15M9","OA","SABOJI",0.333333333333333,3,3,2,0.887483438,0,0,3,0,0
